# bench_static_markup_with_demo_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
810,13013500,13019084,0,2387247,849535,6325,0,9
818,13297042,13299942,0,2390436,857863,6325,0,9
826,13371333,13373136,0,2622991,866899,7033,0,10
834,13524375,13525962,0,2626180,875227,7033,0,10
842,13590834,13592004,0,2629369,883555,7033,0,10
850,13687083,13691902,0,2632558,891883,7033,0,10
858,13854750,13858079,0,2635747,900211,7033,0,10
866,14009708,14013051,0,2638936,908539,7033,0,10
874,14041959,14043807,0,2642125,916867,7033,0,10
882,14175792,14178276,0,2645314,925195,7033,0,10
890,14817958,14821052,0,2648503,933523,7033,0,10
898,14911583,14912843,0,2651692,941851,7033,0,10
906,14705834,14709949,0,2884252,950506,7360,0,11
28,476250,476121,0,11165,29148,0,0,0
